level_0,index,Area_Type,State Name,District Name,Water_Body_Type,Water_body_in_use,Reason_for_Water_Body_Use,Water_Body_Nature,construcion_year,construction_cost,Renovation_Year,renovation_cost,Repair_Renovation_Status,Original_Storage_Capacity,Present_Storage_Capacity,filled_up_storage_name,filled_up_storage_space_name,no_people_benefited_by_water_body,reason_water_body_in_use_name2,storage_capacity_change,population_density_benefited
628,628,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Natural,,,,,0,3180,1590,Upto 1/2,Usually filled up,65.0,,-1590,1.1251010766788274
629,629,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,8600,6580,Full,Filled up every year,2.0,,-2020,1.1251010766788274
630,630,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,2340,1856,Full,Filled up every year,2.0,,-484,1.1251010766788274
631,631,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,5250,4010,Full,Filled up every year,3.0,,-1240,1.1251010766788274
632,632,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Pisciculture,Man-made,2015.0,140000.0,2016.0,20000.0,0,15708,7800,Upto 1/2,Usually filled up,8.0,Ground water recharge,-7908,0.39
633,633,Rural,UTTARAKHAND,HARIDWAR,Ponds,0,other,Natural,,,,,0,4500,500,Nil/Negligible filled up,Never filled up,1.0,,-4000,1.1251010766788274
634,634,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,900,450,Full,Filled up every year,1.0,,-450,1.1251010766788274
635,635,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Ground water recharge,Natural,,,,,0,15210,7605,Upto 1/2,Usually filled up,110.0,,-7605,1.1251010766788274
636,636,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Ground water recharge,Natural,,,,,0,2060,80,Nil/Negligible filled up,Rarely filled up,30.0,,-1980,1.1251010766788274
637,637,Urban,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Pisciculture,Natural,,,2010.0,10000.0,0,26000,20000,Full,Usually filled up,10.0,Ground water recharge,-6000,2.0
