level_0,index,Area_Type,State Name,District Name,Water_Body_Type,Water_body_in_use,Reason_for_Water_Body_Use,Water_Body_Nature,construcion_year,construction_cost,Renovation_Year,renovation_cost,Repair_Renovation_Status,Original_Storage_Capacity,Present_Storage_Capacity,filled_up_storage_name,filled_up_storage_space_name,no_people_benefited_by_water_body,reason_water_body_in_use_name2,storage_capacity_change,population_density_benefited
0,0,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,23481,15654,Nil/Negligible filled up,Rarely filled up,4.0,,-7827,1.1251010766788274
1,1,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2019.0,80000.0,,,0,632,432,Nil/Negligible filled up,Rarely filled up,4.0,,-200,1.1251010766788274
2,2,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2017.0,70000.0,,,0,4600,4500,Upto 1/4,Rarely filled up,4.0,,-100,1.1251010766788274
3,3,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2017.0,50000.0,,,0,3000,2400,Upto 1/2,Rarely filled up,2.0,,-600,1.1251010766788274
4,4,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,990,540,Nil/Negligible filled up,Never filled up,2.0,,-450,1.1251010766788274
5,5,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,675,240,Nil/Negligible filled up,Never filled up,2.0,,-435,1.1251010766788274
6,6,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,6675,2670,Full,Usually filled up,3.0,,-4005,1.1251010766788274
7,7,Urban,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,14536,13000,Upto 1/2,Rarely filled up,20.0,,-1536,1.1251010766788274
8,8,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,7614,2538,Upto 1/2,Rarely filled up,1.0,,-5076,1.1251010766788274
9,9,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,2358,1179,Upto 1/2,Rarely filled up,3.0,,-1179,1.1251010766788274
10,10,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,23040,9216,Nil/Negligible filled up,Rarely filled up,4.0,,-13824,1.1251010766788274
11,11,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,12000,9500,Full,Filled up every year,15.0,,-2500,1.1251010766788274
12,12,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,46314,40138,Full,Filled up every year,6.0,,-6176,1.1251010766788274
13,13,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1120,520,Full,Filled up every year,2.0,,-600,1.1251010766788274
14,14,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,2800,1400,Full,Filled up every year,2.0,,-1400,1.1251010766788274
15,15,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,11200,2800,Full,Filled up every year,4.0,,-8400,1.1251010766788274
16,16,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2014.0,80000.0,,,0,4782,3620,Upto 1/4,Rarely filled up,4.0,,-1162,1.1251010766788274
17,17,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2017.0,80000.0,,,0,369,320,Nil/Negligible filled up,Rarely filled up,1.0,,-49,1.1251010766788274
18,18,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,15456,1200,Nil/Negligible filled up,Never filled up,1.0,,-14256,1.1251010766788274
19,19,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,7500,3750,Upto 3/4,Usually filled up,4.0,,-3750,1.1251010766788274
20,20,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,11520,8640,Upto 3/4,Usually filled up,8.0,,-2880,1.1251010766788274
21,21,Urban,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,2010.0,10000.0,0,13050,10000,Nil/Negligible filled up,Rarely filled up,3.0,,-3050,1.0
22,22,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,3168,1000,Nil/Negligible filled up,Never filled up,1.0,,-2168,1.1251010766788274
23,23,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,5920,1400,Upto 3/4,Usually filled up,10.0,,-4520,1.1251010766788274
24,24,Rural,UTTARAKHAND,PITHORGARH,Ponds,1,Pisciculture,Man-made,2013.0,100000.0,,,0,40,35,Full,Filled up every year,5.0,,-5,1.1251010766788274
25,25,Rural,UTTARAKHAND,PITHORGARH,Ponds,1,Pisciculture,Man-made,2015.0,150000.0,,,0,30,25,Upto 3/4,Filled up every year,5.0,Other,-5,1.1251010766788274
26,26,Rural,UTTARAKHAND,PITHORGARH,Ponds,1,Pisciculture,Man-made,2016.0,1.0,,,0,30,25,Full,Filled up every year,5.0,Ground water recharge,-5,1.1251010766788274
27,27,Rural,UTTARAKHAND,PITHORGARH,Ponds,1,Pisciculture,Man-made,2016.0,1.0,,,0,25,18,Full,Filled up every year,4.0,Ground water recharge,-7,1.1251010766788274
28,28,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,26966,24020,Full,Filled up every year,25.0,,-2946,1.1251010766788274
29,29,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1350,1050,Full,Filled up every year,20.0,,-300,1.1251010766788274
30,30,Urban,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,,,0,2216,2216,Nil/Negligible filled up,Rarely filled up,2.0,,0,1.1251010766788274
31,31,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2015.0,90000.0,,,0,4725,3778,Upto 1/4,Rarely filled up,4.0,,-947,1.1251010766788274
32,32,Rural,UTTARAKHAND,PITHORGARH,Tank,1,Pisciculture,Man-made,2010.0,100000.0,,,0,30,15,Upto 3/4,Usually filled up,4.0,Other,-15,1.1251010766788274
33,33,Rural,UTTARAKHAND,HARIDWAR,Ponds,0,other,Natural,,,,,0,3780,10,Nil/Negligible filled up,Never filled up,1.0,,-3770,1.1251010766788274
34,34,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,119700,110800,Full,Filled up every year,50.0,,-8900,1.1251010766788274
35,35,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1184,540,Full,Filled up every year,6.0,,-644,1.1251010766788274
36,36,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,16600,3000,Upto 3/4,Usually filled up,20.0,,-13600,1.1251010766788274
37,37,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,15399,13000,Full,Filled up every year,15.0,,-2399,1.1251010766788274
38,38,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,506,80,Full,Filled up every year,3.0,,-426,1.1251010766788274
39,39,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,11232,10250,Full,Filled up every year,10.0,,-982,1.1251010766788274
40,40,Rural,UTTARAKHAND,PITHORGARH,Ponds,1,Pisciculture,Man-made,1995.0,100000.0,,,0,120,100,Upto 3/4,Usually filled up,15.0,Irrigation,-20,1.1251010766788274
41,41,Rural,UTTARAKHAND,PITHORGARH,Ponds,0,other,Man-made,1985.0,100000.0,,,0,240,10,Nil/Negligible filled up,Never filled up,1.0,,-230,1.1251010766788274
42,42,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,13832,7000,Upto 3/4,Filled up every year,20.0,,-6832,1.1251010766788274
43,43,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1407,700,Upto 1/2,Usually filled up,6.0,,-707,1.1251010766788274
44,44,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,5194,4508,Upto 3/4,Usually filled up,25.0,,-686,1.1251010766788274
45,45,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,17094,1058,Upto 1/2,Usually filled up,15.0,,-16036,1.1251010766788274
46,46,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,22265,5000,Nil/Negligible filled up,Never filled up,20.0,,-17265,1.1251010766788274
47,47,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,18000,500,Upto 3/4,Usually filled up,15.0,,-17500,1.1251010766788274
48,48,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,18000,12000,Upto 3/4,Usually filled up,12.0,,-6000,1.1251010766788274
49,49,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1026,400,Upto 3/4,Usually filled up,10.0,,-626,1.1251010766788274
50,50,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,8800,6200,Full,Filled up every year,20.0,,-2600,1.1251010766788274
51,51,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1122,500,Upto 3/4,Usually filled up,10.0,,-622,1.1251010766788274
52,52,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,86172,73052,Upto 3/4,Usually filled up,50.0,,-13120,1.1251010766788274
53,53,Urban,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,90000,85000,Full,Filled up every year,20.0,,-5000,1.1251010766788274
54,54,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,41243,20120,Upto 3/4,Usually filled up,10.0,,-21123,1.1251010766788274
55,55,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,34848,10423,Full,Filled up every year,15.0,,-24425,1.1251010766788274
56,56,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,3780,3580,Full,Filled up every year,5.0,,-200,1.1251010766788274
57,57,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,6960,3480,Full,Filled up every year,3.0,Pisciculture,-3480,1.1251010766788274
58,58,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,29000,15000,Full,Filled up every year,5.0,,-14000,1.1251010766788274
59,59,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,9078,200,Upto 3/4,Filled up every year,4.0,,-8878,1.1251010766788274
60,60,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,10560,6702,Upto 3/4,Usually filled up,12.0,,-3858,1.1251010766788274
61,61,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,8234,4117,Nil/Negligible filled up,Rarely filled up,10.0,,-4117,1.1251010766788274
62,62,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,10185,8042,Full,Filled up every year,5.0,,-2143,1.1251010766788274
63,63,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,24182,12041,Full,Filled up every year,10.0,,-12141,1.1251010766788274
64,64,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,6808,3404,Upto 3/4,Usually filled up,5.0,,-3404,1.1251010766788274
65,65,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2016.0,80000.0,,,0,5400,5400,Nil/Negligible filled up,Rarely filled up,3.0,,0,1.1251010766788274
66,66,Urban,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,2008.0,8000.0,0,16000,15000,Nil/Negligible filled up,Rarely filled up,3.0,,-1000,1.875
67,67,Urban,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Pisciculture,Man-made,2017.0,140000.0,2019.0,25000.0,0,25500,25000,Full,Usually filled up,15.0,Ground water recharge,-500,1.0
68,68,Urban,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Natural,,,2010.0,6000.0,0,10500,10000,Nil/Negligible filled up,Rarely filled up,3.0,,-500,1.666666667
69,69,Rural,UTTARAKHAND,CHAMPAWAT,Ponds,1,Pisciculture,Man-made,2017.0,300000.0,,,0,72,70,Full,Usually filled up,1.0,Other,-2,1.1251010766788274
70,70,Rural,UTTARAKHAND,TEHRI,Reservoirs,1,Industrial,Man-made,2017.0,1500000000.0,,,0,325000,325000,Full,Filled up every year,72350.0,Domestic/Drinking,0,1.1251010766788274
71,71,Rural,UTTARAKHAND,TEHRI,Tank,1,Irrigation,Man-made,1995.0,120000.0,,,0,144,30,Full,Usually filled up,4.0,Ground water recharge,-114,1.1251010766788274
72,72,Rural,UTTARAKHAND,TEHRI,Tank,1,Irrigation,Man-made,2015.0,435000.0,,,0,60,52,Upto 1/2,Rarely filled up,13.0,Ground water recharge,-8,1.1251010766788274
73,73,Rural,UTTARAKHAND,TEHRI,Tank,1,Irrigation,Man-made,2001.0,210000.0,,,0,117,105,Full,Usually filled up,6.0,Ground water recharge,-12,1.1251010766788274
74,74,Rural,UTTARAKHAND,TEHRI,Ponds,1,Pisciculture,Man-made,2017.0,50000.0,,,0,42,38,Full,Filled up every year,3.0,Ground water recharge,-4,1.1251010766788274
75,75,Rural,UTTARAKHAND,TEHRI,Tank,1,Pisciculture,Man-made,2017.0,150000.0,,,0,360,324,Full,Filled up every year,1.0,Ground water recharge,-36,1.1251010766788274
76,76,Rural,UTTARAKHAND,TEHRI,Ponds,1,Pisciculture,Man-made,2015.0,42000.0,,,0,678,678,Full,Filled up every year,1.0,Ground water recharge,0,1.1251010766788274
77,77,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Ground water recharge,Natural,,,,,0,2520,1260,Upto 1/2,Usually filled up,55.0,,-1260,1.1251010766788274
78,78,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Ground water recharge,Natural,,,,,0,43328,21664,Upto 1/2,Usually filled up,90.0,Pisciculture,-21664,1.1251010766788274
79,79,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Ground water recharge,Natural,,,,,0,4734,4734,Full,Usually filled up,40.0,,0,1.1251010766788274
80,80,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Ground water recharge,Natural,,,,,0,26184,13092,Upto 1/2,Usually filled up,155.0,,-13092,1.1251010766788274
81,81,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,4958,3000,Full,Filled up every year,20.0,,-1958,1.1251010766788274
82,82,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,17100,1000,Nil/Negligible filled up,Never filled up,15.0,,-16100,1.1251010766788274
83,83,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,4700,570,Upto 3/4,Usually filled up,15.0,,-4130,1.1251010766788274
84,84,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,14625,2300,Upto 3/4,Usually filled up,15.0,,-12325,1.1251010766788274
85,85,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,8720,4020,Full,Filled up every year,10.0,,-4700,1.1251010766788274
86,86,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,12320,12000,Full,Filled up every year,10.0,,-320,1.1251010766788274
87,87,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,630,150,Nil/Negligible filled up,Never filled up,8.0,,-480,1.1251010766788274
88,88,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,2998,1000,Nil/Negligible filled up,Never filled up,2.0,,-1998,1.1251010766788274
89,89,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,6216,6000,Full,Filled up every year,15.0,,-216,1.1251010766788274
90,90,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,5200,400,Full,Filled up every year,2.0,,-4800,1.1251010766788274
91,91,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,15008,500,Full,Filled up every year,2.0,,-14508,1.1251010766788274
92,92,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,13913,6300,Full,Filled up every year,10.0,,-7613,1.1251010766788274
93,93,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,3360,2030,Full,Filled up every year,10.0,,-1330,1.1251010766788274
94,94,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,7487,3542,Upto 1/2,Rarely filled up,2.0,,-3945,1.1251010766788274
95,95,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,55742,40200,Upto 3/4,Usually filled up,15.0,,-15542,1.1251010766788274
96,96,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,17284,15022,Full,Filled up every year,20.0,,-2262,1.1251010766788274
97,97,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,19288,8142,Upto 1/2,Usually filled up,5.0,,-11146,1.1251010766788274
98,98,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,24182,12041,Full,Filled up every year,10.0,,-12141,1.1251010766788274
99,99,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,9408,5200,Full,Filled up every year,12.0,,-4208,1.1251010766788274
100,100,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1760,600,Nil/Negligible filled up,Never filled up,1.0,,-1160,1.1251010766788274
101,101,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,4758,1000,Nil/Negligible filled up,Never filled up,1.0,,-3758,1.1251010766788274
102,102,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,9261,3087,Full,Filled up every year,10.0,,-6174,1.1251010766788274
103,103,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,6225,100,Nil/Negligible filled up,Never filled up,1.0,,-6125,1.1251010766788274
104,104,Rural,UTTARAKHAND,ALMORA,Tank,1,Pisciculture,Man-made,2017.0,180000.0,,,0,167,133,Upto 3/4,Filled up every year,10.0,,-34,1.1251010766788274
105,105,Rural,UTTARAKHAND,BAGESHWAR,Ponds,1,Domestic/Drinking,Natural,,,,,0,12,10,Upto 3/4,Usually filled up,15.0,Irrigation,-2,1.1251010766788274
106,106,Rural,UTTARAKHAND,PITHORGARH,Ponds,1,Pisciculture,Man-made,2015.0,1.0,,,0,30,25,Upto 1/2,Filled up every year,4.0,Ground water recharge,-5,1.1251010766788274
107,107,Rural,UTTARAKHAND,PITHORGARH,Ponds,1,Pisciculture,Man-made,2016.0,1.0,,,0,30,25,Full,Usually filled up,6.0,Ground water recharge,-5,1.1251010766788274
108,108,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2014.0,90000.0,,,0,6336,5600,Upto 1/2,Rarely filled up,4.0,,-736,1.1251010766788274
109,109,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2016.0,90000.0,,,0,1488,1040,Upto 1/4,Rarely filled up,2.0,,-448,1.1251010766788274
110,110,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2015.0,90000.0,,,0,16800,14400,Upto 3/4,Usually filled up,2.0,,-2400,1.1251010766788274
111,111,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2015.0,90000.0,,,0,3900,3200,Upto 1/2,Rarely filled up,2.0,,-700,1.1251010766788274
112,112,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2014.0,90000.0,,,0,720,400,Nil/Negligible filled up,Rarely filled up,2.0,,-320,1.1251010766788274
113,113,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2014.0,80000.0,,,0,3157,2550,Upto 1/2,Rarely filled up,1.0,,-607,1.1251010766788274
114,114,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2015.0,90000.0,,,0,2368,2140,Upto 1/4,Rarely filled up,3.0,,-228,1.1251010766788274
115,115,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2014.0,90000.0,,,0,1312,345,Upto 1/2,Rarely filled up,4.0,,-967,1.1251010766788274
116,116,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2011.0,60000.0,,,0,930,522,Nil/Negligible filled up,Never filled up,1.0,,-408,1.1251010766788274
117,117,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2016.0,70000.0,,,0,11220,8880,Upto 1/2,Rarely filled up,4.0,,-2340,1.1251010766788274
118,118,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2019.0,90000.0,,,0,1702,800,Upto 1/4,Rarely filled up,4.0,,-902,1.1251010766788274
119,119,Rural,UTTARAKHAND,DEHRADUN,Tank,1,Pisciculture,Man-made,2017.0,200000.0,,,0,60,50,Full,Filled up every year,6.0,,-10,1.1251010766788274
120,120,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2017.0,100000.0,,,0,850,672,Upto 1/4,Rarely filled up,3.0,,-178,1.1251010766788274
121,121,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,9000,6000,Full,Filled up every year,15.0,,-3000,1.1251010766788274
122,122,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1312,875,Upto 3/4,Usually filled up,15.0,,-437,1.1251010766788274
123,123,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,0,other,Man-made,2016.0,90000.0,,,0,2400,1393,Upto 1/2,Rarely filled up,4.0,,-1007,1.1251010766788274
124,124,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,4160,1950,Full,Filled up every year,10.0,,-2210,1.1251010766788274
125,125,Rural,UTTARAKHAND,DEHRADUN,Tank,1,Irrigation,Man-made,2018.0,200000.0,,,0,40,40,Full,Filled up every year,6.0,,0,1.1251010766788274
126,126,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Man-made,2016.0,125000.0,2017.0,12000.0,0,2500,1200,Upto 3/4,Filled up every year,25.0,,-1300,0.1
127,127,Rural,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Other,Man-made,2016.0,125000.0,2017.0,12000.0,0,2500,1500,Upto 3/4,Filled up every year,25.0,Ground water recharge,-1000,0.125
128,128,Urban,UTTARAKHAND,UDHAM SINGH NAGAR,Ponds,1,Ground water recharge,Natural,,,,,0,1500,1000,Upto 3/4,Filled up every year,50.0,Other,-500,1.1251010766788274
129,129,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,22000,16500,Full,Filled up every year,2.0,,-5500,1.1251010766788274
130,130,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,2760,2484,Full,Filled up every year,4.0,,-276,1.1251010766788274
131,131,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,8400,6720,Full,Filled up every year,5.0,,-1680,1.1251010766788274
132,132,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1440,720,Full,Filled up every year,3.0,,-720,1.1251010766788274
133,133,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1050,520,Full,Filled up every year,1.0,,-530,1.1251010766788274
134,134,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,7087,781,Nil/Negligible filled up,Never filled up,1.0,,-6306,1.1251010766788274
135,135,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,4650,3510,Full,Filled up every year,22.0,,-1140,1.1251010766788274
136,136,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,360,150,Nil/Negligible filled up,Never filled up,1.0,,-210,1.1251010766788274
137,137,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1700,850,Full,Filled up every year,5.0,,-850,1.1251010766788274
138,138,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,5440,3190,Full,Filled up every year,10.0,,-2250,1.1251010766788274
139,139,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,2800,2130,Full,Filled up every year,10.0,,-670,1.1251010766788274
140,140,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,10500,9000,Full,Filled up every year,10.0,,-1500,1.1251010766788274
141,141,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,8400,6240,Full,Filled up every year,20.0,,-2160,1.1251010766788274
142,142,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,7150,6500,Full,Filled up every year,20.0,,-650,1.1251010766788274
143,143,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,8100,6910,Full,Filled up every year,19.0,,-1190,1.1251010766788274
144,144,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,1200,800,Full,Filled up every year,10.0,,-400,1.1251010766788274
145,145,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,2750,2600,Full,Filled up every year,15.0,,-150,1.1251010766788274
146,146,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Pisciculture,Natural,,,,,0,7150,5250,Full,Filled up every year,15.0,Ground water recharge,-1900,1.1251010766788274
147,147,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,4500,3400,Full,Filled up every year,10.0,,-1100,1.1251010766788274
148,148,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,16150,14050,Full,Filled up every year,20.0,,-2100,1.1251010766788274
149,149,Rural,UTTARAKHAND,UTTARKASHI,Tank,0,other,Man-made,2001.0,100000.0,,,0,30,30,Nil/Negligible filled up,Rarely filled up,3.0,,0,1.1251010766788274
150,150,Rural,UTTARAKHAND,HARIDWAR,Ponds,1,Ground water recharge,Natural,,,,,0,2000,1800,Full,Filled up every year,10.0,,-200,1.1251010766788274
